lookup_country_id;lookup_region;city_name;latitude;longitude;timezone;Code
1;833;Herat;34.333;62.2;+04:30;HERA
1;835;Kabul;34.517;69.183;+04:50;KABU
1;852;Mazar-e Sharif;36.7;67.1;+4:30;MSHA
2;983;Korce;40.6162;20.7779;+01:00;KORC
2;1011;Tirane;41.333;19.833;+01:00;TIRA
3;856;Algiers;36.763;3.051;+01:00;ALGI
3;858;Skikda;36.879;6.907;+01:00;SKIK
3;861;Oran;35.691;-0.642;+01:00;ORAN
3;868;Ouled Djellal;34.417;5.067;+01:00;ODJE
3;875;Mascara;35.394;0.14;+01:00;MASC
3;879;Annaba;36.9;7.767;+01:00;ANNA
4;5309;Pago Pago;14.27;-170.7;-11:00;PPAG
5;1023;Andorra La Vella;42.5;1.517;+01:00;ALVE
5;5052;Escaldes;42.5;1.533;+01:00;ESCA
6;1029;Benguela;-12.58;13.408;+01:00;BENG
6;1034;Sumbe;-11.2;13.833;+01:00;SUMB
6;1037;Lubango;-14.917;13.5;+01:00;LUBA
6;1038;Luanda;-8.838;13.234;+01:00;LUAN
6;1046;Luanda;-7.05;14.817;+01:00;LUAN
7;544;The Valley;18.217;-63.05;-04:00;TVAL
8;4761;Molodesjnaja;0;0;+00:00;MOLO
8;4761;Reading;0;0;+00:00;READ
8;4763;McMurdo Station;-77.91;166.65;+00:00;MSTA
9;818;Saint Johns;17.117;-61.85;-04:00;SJOH
9;820;Falmouth;17.017;-61.783;-04:00;FALM
10;1051;Bahia Blanca;-38.717;-62.283;-03:00;BBLA
10;1051;Berazategui;-34.767;-58.217;-03:00;BERA
10;1051;Caseros;-34.6;-58.55;-03:00;CASE
10;1051;Castelar;-34.667;-58.667;-03:00;CAST
10;1051;Chacabuco;-34.642;-60.474;-03:00;CHAC
10;1051;Ezeiza;-34.85;-58.533;-03:00;EZEI
10;1051;Haedo;-34.633;-58.6;-03:00;HAED
10;1051;Jose Leon Suarez;-34.533;-58.583;-03:00;JLSU
10;1051;La Plata;-34.931;-57.949;-03:00;LPLA
10;1051;Lomas De Zamora;-34.767;-58.4;-03:00;LDZA
10;1051;Mar del Plata;-38;-57.55;-03:00;MDPL
10;1051;Miramar;-38.267;-57.85;-03:00;MIRA
10;1051;Pinamar;-37.117;-56.833;-03:00;PINA
10;1051;Ramos Mejia;-34.633;-58.567;-03:00;RMEJ
10;1051;Salto;-34.299;-60.242;-03:00;SALT
10;1051;San Clemente del Tuyu;-36.367;-56.717;-03:00;SCDT
10;1051;San Isidro;-34.45;-58.5;-03:00;SISI
10;1051;San Martin;-34.567;-58.533;-03:00;SMAR
10;1051;Tres Arroyos;-38.383;-60.283;-03:00;TARR
10;1051;Turdera;-34.783;-58.4;-03:00;TURD
10;1054;Puerto Madryn;-42.767;-65.05;-03:00;PMAD
10;1054;Trelew;-43.25;-65.3;-03:00;TREL
10;1055;Cordoba;-31.4;-64.183;-03:00;CORD
10;1055;Marcos Juarez;-32.7;-62.1;-03:00;MJUA
10;1055;Rio Tercero;-32.183;-64.1;-03:00;RTER
10;1055;Villa Maria;-32.417;-63.25;-03:00;VMAR
10;1056;Corrientes;-27.467;-58.833;-03:00;CORR
10;1056;Paso de los Libres;-29.717;-57.083;-03:00;PDLL
10;1057;Buenos Aires;-34.613;-58.47;-03:00;BAIR
10;1058;Concordia;-31.4;-58.033;-03:00;CONC
10;1058;Crespo;-32.033;-60.317;-03:00;CRES
10;1058;Gualeguaychu;-33.01;-58.514;-03:00;GUAL
10;1058;Parana;-31.733;-60.533;-03:00;PARA
10;1060;San Rafael;-24.117;-64.4;-03:00;SRAF
10;1061;Santa Rosa;-36.617;-64.283;-03:00;SROS
10;1063;Lujan de Cuyo;-33.05;-68.867;-03:00;LDCU
10;1063;Malargue;-35.467;-69.583;-03:00;MALA
10;1063;Mendoza;-32.883;-68.817;-03:00;MEND
10;1065;Cipolletti;-38.933;-67.983;-03:00;CIPO
10;1065;Neuquen;-38.95;-68.067;-03:00;NEUQ
10;1066;Bariloche;-41.15;-71.3;-03:00;BARI
10;1066;General Roca;-39.05;-67.533;-03:00;GROC
10;1066;Resistencia;-40.8097;-63.0037;-03:00;RESI
10;1067;Salta;-24.79;-65.41;-03:00;SALT
10;1068;San Juan;-31.538;-68.536;-03:00;SJUA
10;1070;Rio Cuarto;-33.133;-64.35;-03:00;RCUA
10;1071;Ceres;-29.883;-61.95;-03:00;CERE
10;1071;Reconquista ;-29.15;-59.65;-03:00;RECO
10;1071;Rosario;-32.951;-60.666;-03:00;ROSA
10;1071;Santa Fe;-31.633;-60.7;-03:00;SFE
10;1071;Suardi;-30.533;-61.967;-03:00;SUAR
10;1072;Santiago del Estero;-27.783;-64.267;-03:00;SDES
10;1073;Ushuaia;-54.8;-68.3;-03:00;USHU
10;1074;San Miguel de Tucuman;-26.817;-65.217;-03:00;SMDT
11;1017;Vanadzor;40.8;44.49;+04:00;VANA
11;1018;Gyumri;40.7916;43.83;+04:00;GYUM
11;1018;Spitak;40.7955;44.27;+04:00;SPIT
11;1022;Yerevan;40.1833;44.5;+04:00;YERE
12;549;Oranjestad;12.517;-70.033;-04:00;ORAN
14;1;Ascot Vale;-37.783;144.917;+10:00;AVAL
14;1;Bacchus Marsh;-37.683;144.45;+10:00;BMAR
14;1;Bairnsdale;-37.833;147.617;+10:00;BAIR
14;1;Ballarat;-37.567;143.85;+10:00;BALL
14;1;Bayswater;-37.85;145.267;+10:00;BAYS
14;1;Bendigo;-36.767;144.283;+10:00;BEND
14;1;Berwick;-38.033;145.35;+10:00;BERW
14;1;Boolarra;-38.383;146.267;+10:00;BOOL
14;1;Bright;-36.75;146.967;+10:00;BRIG
14;1;Cape Otway;-38.85;143.517;+10:00;COTW
14;1;Castlemaine;-37.067;144.217;+10:00;CAST
14;1;Chelsea;-38.05;145.117;+10:00;CHES
14;1;Cheltenham;-37.969;145.048;+10:00;CHEL
14;1;Cobram;-35.917;145.65;+10:00;COBR
14;1;Dandenong;-37.983;145.2;+10:00;DAND
14;1;Deer Park;-37.767;144.783;+10:00;DPAR
14;1;Diamond Creek;-37.667;145.15;+10:00;DCRE
14;1;Echuca;-36.133;144.75;+10:00;ECHU
14;1;Eltham;-37.733;145.15;+10:00;ELTH
14;1;Frankston;-38.133;145.117;+10:00;FRAN
14;1;Geelong;-38.158;144.35;+10:00;GEEL
14;1;Hamilton;-37.75;142.033;+10:00;HAMI
14;1;Hawthorn;-37.833;145.033;+10:00;HAWT
14;1;Horsham;-36.717;142.2;+10:00;HORS
14;1;Hurstbridge;-37.65;145.217;+10:00;HURS
14;1;Maryborough;-37.05;143.75;+10:00;MARY
14;1;Melbourne;-37.817;144.967;+10:00;MELB
14;1;Mildura;-34.2;142.15;+10:00;MILD
14;1;Moe;-38.167;146.267;+10:00;MOE
14;1;Mooroolbark;-37.783;145.3;+10:00;MOOR
14;1;Mornington;-38.217;145.033;+10:00;MORN
14;1;Morwell;-38.233;146.4;+10:00;MORW
14;1;Narre Warren;-38.033;145.3;+10:00;NWAR
14;1;Newstead;-37.117;144.067;+10:00;NEWS
14;1;Noble Park;-37.967;145.167;+10:00;NPAR
14;1;Northcote;-37.7689;144.998;+10:00;NORT
14;1;Nunawading;-37.817;145.167;+10:00;NUNA
14;1;Portland;-38.333;141.6;+10:00;PORT
14;1;Prahran;-37.85;145;+10:00;PRAH
14;1;Preston;-37.75;145.017;+10:00;PRES
14;1;Red Cliffs;-34.317;142.183;+10:00;RCLI
14;1;Sale;-38.1;147.067;+10:00;SALE
14;1;Shepparton;-36.383;145.4;+10:00;SHEP
14;1;Sorrento;-38.317;144.733;+10:00;SORR
14;1;South Yarra;-37.833;144.983;+10:00;SYAR
14;1;Sunbury;-37.583;144.733;+10:00;SUNB
14;1;Sunshine;-37.783;144.833;+10:00;SUNS
14;1;Swan Hill;-35.35;143.567;+10:00;SHIL
14;1;Traralgon;-38.183;146.533;+10:00;TRAR
14;1;Wangaratta;-36.367;146.333;+10:00;WANG
14;1;Warrnambool;-38.383;142.483;+10:00;WARR
14;1;Wilsons Promontory;-38.65;146.183;+10:00;WPRO
14;1;Wodonga;-36.117;146.883;+10:00;WODO
14;2;Burnie;-41.067;145.917;+10:00;BURN
14;2;Campbell Town;-41.917;147.5;+10:00;CTOW
14;2;Claremont;-42.783;147.25;+10:00;CLAR
14;2;Devonport;-41.167;146.35;+10:00;DEVO
14;2;George Town;-41.1;146.833;+10:00;GTOW
14;2;Glenorchy;-42.833;147.283;+10:00;GLEN
14;2;Hobart;-42.917;147.333;+10:00;HOBA
14;2;Launceston;-41.45;147.167;+10:00;LAUN
14;2;Penguin;-41.117;146.067;+10:00;PENG
14;2;Strahan;-42.15;145.333;+10:00;STRA
14;2;Wynyard;-41;145.717;+10:00;WYNY
14;2;Zeehan;-41.883;145.333;+10:00;ZEEH
14;3;Abbeywood;-26.1069;151.629;+10:00;ABBE
14;3;Abbotsford;-24.8437;152.025;+10:00;ABBO
14;3;ABINGDON DOWNS;-17.8697;143.703;+10:00;ADOW
14;3;Abington;-25.2032;152.329;+10:00;ABIN
14;3;Acacia Ridge;-27.5896;153.028;+10:00;ARID
14;3;Acland;-27.3037;151.691;+10:00;ACLA
14;3;Adare;-27.5119;152.296;+10:00;ADAR
14;3;Advancetown;-28.0331;153.28;+10:00;ADVA
14;3;AEROGLEN;-16.8834;145.747;+10:00;AERO
14;3;Agnes Water;-24.2125;151.903;+10:00;AWAT
14;3;Airlie Beach;-20.2679;148.716;+10:00;ABEA
14;3;AITKENVALE;-19.2953;146.767;+10:00;AITK
14;3;Albany Creek;-27.3455;152.968;+10:00;ACRE
14;3;Alderley;-27.4244;153.001;+10:00;ALDE
14;3;Aldershot;-25.4666;152.657;+10:00;ALDR
14;3;Aldoga;-23.8353;151.071;+10:00;ALDO
14;3;Alexandra;-21.1645;149.1;+10:00;ALEX
14;3;Alexandra Headland;-26.6706;153.108;+10:00;AHEA
14;3;Alexandra Hills;-27.5228;153.22;+10:00;AHIL
14;3;Algester;-27.6113;153.034;+10:00;ALGE
14;3;Alice Creek;-26.76;151.632;+10:00;ACRK
14;3;Allan;-28.1956;151.95;+10:00;ALLA
14;3;Allenstown;-23.3889;150.503;+10:00;ALLE
14;3;Alligator Creek;-21.3239;149.211;+10:00;ACRZ
14;3;Allora;-28.0358;151.983;+10:00;ALLO
14;3;Alloway;-24.9524;152.362;+10:00;ALLW
14;3;ALMADEN;-17.3409;144.676;+10:00;ALMA
14;3;ALOOMBA;-17.1279;145.824;+10:00;ALOO
14;3;Alpha;-23.6497;146.641;+10:00;ALPH
14;3;Amamoor;-26.3452;152.675;+10:00;AMAM
14;3;Amamoor Creek;-26.3595;152.563;+10:00;ACRY
14;3;AMBER;-17.7189;144.316;+10:00;AMBR
14;3;Amberley;-27.6404;152.702;+10:00;AMBE
14;3;Amby;-26.5492;148.187;+10:00;AMBY
14;3;Amiens;-28.5836;151.801;+10:00;AMIE
14;3;Amity;-27.3979;153.439;+10:00;AMIT
14;3;Amity Point;-27.3965;153.44;+10:00;APOI
14;3;Andergrove;-21.0969;149.185;+10:00;ANDE
14;3;Anderleigh;-25.9984;152.674;+10:00;ANDR
14;3;Anduramba;-27.1346;152.086;+10:00;ANDU
14;3;ANNANDALE;-19.3096;146.787;+10:00;ANNA
14;3;Annerley;-27.5116;153.032;+10:00;ANNE
14;3;Anstead;-27.5456;152.872;+10:00;ANST
14;3;Anthony;-27.8782;152.684;+10:00;ANTH
14;3;Antigua;-25.6382;152.603;+10:00;ANTI
14;3;Apple Tree Creek;-25.2152;152.234;+10:00;ATCR
14;3;Applethorpe;-28.6139;151.955;+10:00;APPL
14;3;Araluen;-26.1595;152.668;+10:00;ARAL
14;3;Aramac;-22.9722;145.245;+10:00;ARAM
14;3;Aramara;-25.6113;152.326;+10:00;ARAA
14;3;Arana Hills;-27.3975;152.96;+10:00;AHIS
14;3;Aratula;-27.9815;152.549;+10:00;ARAT
14;3;ARBOUIN;-17.1875;144.132;+10:00;ARBO
14;3;ARCHER RIVER;-13.0345;142.523;+10:00;ARIV
14;3;Archerfield;-27.5684;153.024;+10:00;ARCH
14;3;Armstrong Beach;-21.4549;149.29;+10:00;ABEC
14;3;Armstrong Creek;-27.2256;152.798;+10:00;ACRX
14;3;ARRIGA;-17.1157;145.283;+10:00;ARRI
14;3;Arundel;-27.9397;153.373;+10:00;ARUN
14;3;Ascot;-27.4303;153.059;+10:00;ASCO
14;3;Ashgrove;-27.4456;152.992;+10:00;ASHG
14;3;Ashgrove West;-27.4493;152.979;+10:00;AWES
14;3;Ashmore;-27.9864;153.382;+10:00;ASHM
14;3;Ashmore City;-27.9774;153.381;+10:00;ACIT
14;3;Ashwell;-27.6285;152.56;+10:00;ASHW
